datetime	open	high	low	close	volume
14.05.2007 00:00	101.25	101.7	98.3	99.56	32325000
15.05.2007 00:00	99.05	99.35	97.5	97.65	34162000
16.05.2007 00:00	97.65	98.4	97.1	98.15	28386000
17.05.2007 00:00	98.54	99.19	97.1	97.5	26217000
18.05.2007 00:00	97.32	99.5	97.32	98.5	26086000
21.05.2007 00:00	99.5	99.97	98.0	98.17	20954000
22.05.2007 00:00	97.53	98.95	96.62	96.85	20594000
23.05.2007 00:00	96.45	96.7	92.91	93.4	55217000
24.05.2007 00:00	92.0	92.7	90.1	91.49	54563000
25.05.2007 00:00	90.5	93.4	89.85	93.36	41833000
28.05.2007 00:00	93.63	94.39	91.11	92.3	37372000
29.05.2007 00:00	92.32	93.2	89.01	89.39	39142000
30.05.2007 00:00	88.0	88.84	86.0	87.9	45201000
31.05.2007 00:00	89.3	91.8	88.91	91.8	61967000
01.06.2007 00:00	91.9	95.7	90.7	95.1	61112000
04.06.2007 00:00	95.1	96.75	94.15	96.4	47704000
05.06.2007 00:00	96.55	97.98	96.51	97.4	41660000
06.06.2007 00:00	97.0	97.86	95.62	96.4	33312000
07.06.2007 00:00	96.25	97.3	95.65	95.99	24633000
08.06.2007 00:00	94.98	95.3	92.11	94.0	53809000
12.06.2007 00:00	94.95	95.38	93.89	94.64	18592000
13.06.2007 00:00	93.08	95.75	93.08	95.66	24630000
14.06.2007 00:00	96.5	99.29	96.1	99.2	37588000
15.06.2007 00:00	99.38	100.15	97.9	98.8	49364000
18.06.2007 00:00	99.45	100.1	98.7	99.15	26396000
19.06.2007 00:00	98.61	99.74	97.48	98.67	30553000
20.06.2007 00:00	99.49	101.55	99.2	100.85	70146000
21.06.2007 00:00	99.5	100.35	99.03	99.3	42588000
22.06.2007 00:00	99.4	100.25	98.95	99.5	25428000
25.06.2007 00:00	98.8	100.35	98.4	99.78	25223000
26.06.2007 00:00	99.55	100.7	99.4	100.0	27083000
27.06.2007 00:00	99.5	99.85	98.7	98.97	19513000
28.06.2007 00:00	99.6	100.5	99.32	100.1	28447000
29.06.2007 00:00	100.73	100.95	99.3	100.02	23910000
02.07.2007 00:00	99.63	100.5	99.63	100.4	17319000
03.07.2007 00:00	100.7	101.4	100.1	100.4	25037000
04.07.2007 00:00	100.7	100.9	100.0	100.4	14441000
05.07.2007 00:00	100.55	101.47	100.47	101.25	28615000
06.07.2007 00:00	101.06	101.5	100.56	101.4	11605000
09.07.2007 00:00	101.5	103.56	101.4	103.0	38116000
10.07.2007 00:00	102.98	106.31	102.12	103.2	69960000
11.07.2007 00:00	102.4	104.2	102.4	104.15	32472000
12.07.2007 00:00	104.48	106.99	104.48	106.7	64637000
13.07.2007 00:00	108.04	108.04	105.29	106.6	27393000
16.07.2007 00:00	106.0	107.34	105.2	106.8	22397000
19.07.2007 00:00	106.65	108.08	106.02	107.0	25546000
20.07.2007 00:00	109.0	111.11	108.01	109.77	20252490
23.07.2007 00:00	109.7	112.65	108.1	112.17	35092030
24.07.2007 00:00	112.1	113.05	109.47	109.58	31762000
25.07.2007 00:00	108.5	109.98	107.1	109.16	39700940
26.07.2007 00:00	110.0	110.42	103.3	104.15	49871210
27.07.2007 00:00	102.0	103.83	100.81	103.16	53701140
30.07.2007 00:00	102.65	104.29	100.33	102.7	30588470
31.07.2007 00:00	103.62	105.64	102.9	105.11	33104690
01.08.2007 00:00	102.78	102.91	101.55	101.92	36540550
02.08.2007 00:00	102.54	103.36	101.78	102.38	21543290
03.08.2007 00:00	103.0	103.53	101.91	102.4	28804330
06.08.2007 00:00	100.53	101.41	99.98	100.57	28262730
